GAME_ID,GAME_DATE,HOME_TEAM_ABBREV,AWAY_TEAM_ABBREV,SEASON_TYPE
0022500001,2025-10-21,OKC,HOU,Regular Season
0022500002,2025-10-21,LAL,GSW,Regular Season
0022500003,2025-10-22,NYK,CLE,Regular Season
0022500004,2025-10-22,DAL,SAS,Regular Season
0022500080,2025-10-22,CHA,BKN,Regular Season
0022500081,2025-10-22,ORL,MIA,Regular Season
0022500082,2025-10-22,ATL,TOR,Regular Season
0022500083,2025-10-22,BOS,PHI,Regular Season
0022500084,2025-10-22,CHI,DET,Regular Season
0022500085,2025-10-22,MEM,NOP,Regular Season
0022500086,2025-10-22,MIL,WAS,Regular Season
0022500087,2025-10-22,UTA,LAC,Regular Season
0022500088,2025-10-22,PHX,SAC,Regular Season
0022500089,2025-10-22,POR,MIN,Regular Season
0022500005,2025-10-23,IND,OKC,Regular Season
0022500006,2025-10-23,GSW,DEN,Regular Season
0022500018,2025-10-24,NYK,BOS,Regular Season
0022500019,2025-10-24,LAL,MIN,Regular Season
0022500090,2025-10-24,ORL,ATL,Regular Season
0022500091,2025-10-24,BKN,CLE,Regular Season
0022500092,2025-10-24,TOR,MIL,Regular Season
0022500093,2025-10-24,HOU,DET,Regular Season
0022500094,2025-10-24,MEM,MIA,Regular Season
0022500095,2025-10-24,NOP,SAS,Regular Season
0022500096,2025-10-24,DAL,WAS,Regular Season
0022500097,2025-10-24,POR,GSW,Regular Season
0022500098,2025-10-24,SAC,UTA,Regular Season
0022500099,2025-10-24,LAC,PHX,Regular Season
0022500100,2025-10-25,ORL,CHI,Regular Season
0022500101,2025-10-25,ATL,OKC,Regular Season
0022500102,2025-10-25,PHI,CHA,Regular Season
0022500103,2025-10-25,MEM,IND,Regular Season
0022500104,2025-10-25,DEN,PHX,Regular Season
0022500105,2025-10-26,SAS,BKN,Regular Season
0022500106,2025-10-26,DET,BOS,Regular Season
0022500107,2025-10-26,CLE,MIL,Regular Season
0022500108,2025-10-26,MIA,NYK,Regular Season
0022500109,2025-10-26,WAS,CHA,Regular Season
0022500110,2025-10-26,MIN,IND,Regular Season
0022500111,2025-10-26,DAL,TOR,Regular Season
0022500112,2025-10-26,LAC,POR,Regular Season
0022500113,2025-10-26,SAC,LAL,Regular Season
0022500007,2025-10-27,DET,CLE,Regular Season
0022500008,2025-10-27,MIN,DEN,Regular Season
0022500114,2025-10-27,PHI,ORL,Regular Season
0022500115,2025-10-27,CHI,ATL,Regular Season
0022500116,2025-10-27,HOU,BKN,Regular Season
0022500117,2025-10-27,NOP,BOS,Regular Season
0022500118,2025-10-27,SAS,TOR,Regular Season
0022500119,2025-10-27,DAL,OKC,Regular Season
0022500120,2025-10-27,UTA,PHX,Regular Season
0022500121,2025-10-27,GSW,MEM,Regular Season
0022500122,2025-10-27,LAL,POR,Regular Season
0022500123,2025-10-28,WAS,PHI,Regular Season
0022500124,2025-10-28,MIA,CHA,Regular Season
0022500125,2025-10-28,MIL,NYK,Regular Season
0022500126,2025-10-28,OKC,SAC,Regular Season
0022500127,2025-10-28,GSW,LAC,Regular Season
0022500128,2025-10-29,BOS,CLE,Regular Season
0022500129,2025-10-29,DET,ORL,Regular Season
0022500130,2025-10-29,BKN,ATL,Regular Season
0022500131,2025-10-29,TOR,HOU,Regular Season
0022500132,2025-10-29,CHI,SAC,Regular Season
0022500133,2025-10-29,DAL,IND,Regular Season
0022500134,2025-10-29,DEN,NOP,Regular Season
0022500135,2025-10-29,UTA,POR,Regular Season
0022500136,2025-10-29,MIN,LAL,Regular Season
0022500137,2025-10-29,PHX,MEM,Regular Season
0022500138,2025-10-30,CHA,ORL,Regular Season
0022500139,2025-10-30,MIL,GSW,Regular Season
0022500140,2025-10-30,OKC,WAS,Regular Season
0022500141,2025-10-30,SAS,MIA,Regular Season
0022500020,2025-10-31,IND,ATL,Regular Season
0022500021,2025-10-31,PHI,BOS,Regular Season
0022500022,2025-10-31,CLE,TOR,Regular Season
0022500023,2025-10-31,CHI,NYK,Regular Season
0022500024,2025-10-31,MEM,LAL,Regular Season
0022500025,2025-10-31,PHX,UTA,Regular Season
0022500026,2025-10-31,POR,DEN,Regular Season
0022500027,2025-10-31,LAC,NOP,Regular Season
0022500142,2025-11-01,MIL,SAC,Regular Season
0022500143,2025-11-01,CHA,MIN,Regular Season
0022500144,2025-11-01,IND,GSW,Regular Season
0022500145,2025-11-01,WAS,ORL,Regular Season
0022500146,2025-11-01,BOS,HOU,Regular Season
0022500148,2025-11-02,OKC,NOP,Regular Season
0022500149,2025-11-02,BKN,PHI,Regular Season
0022500150,2025-11-02,CHA,UTA,Regular Season
0022500151,2025-11-02,CLE,ATL,Regular Season
0022500152,2025-11-02,TOR,MEM,Regular Season
0022500153,2025-11-02,NYK,CHI,Regular Season
0022500154,2025-11-02,PHX,SAS,Regular Season
0022500155,2025-11-02,LAL,MIA,Regular Season
0022500156,2025-11-03,BKN,MIN,Regular Season
0022500157,2025-11-03,IND,MIL,Regular Season
0022500158,2025-11-03,BOS,UTA,Regular Season
0022500159,2025-11-03,NYK,WAS,Regular Season
0022500160,2025-11-03,HOU,DAL,Regular Season
0022500161,2025-11-03,MEM,DET,Regular Season
0022500162,2025-11-03,DEN,SAC,Regular Season
0022500163,2025-11-03,POR,LAL,Regular Season
0022500164,2025-11-03,LAC,MIA,Regular Season
0022500165,2025-11-04,TOR,MIL,Regular Season
0022500166,2025-11-04,ATL,ORL,Regular Season
0022500167,2025-11-04,CHI,PHI,Regular Season
0022500168,2025-11-04,NOP,CHA,Regular Season
0022500169,2025-11-04,GSW,PHX,Regular Season
0022500170,2025-11-04,LAC,OKC,Regular Season
0022500171,2025-11-05,CLE,PHI,Regular Season
0022500172,2025-11-05,DET,UTA,Regular Season
0022500173,2025-11-05,IND,BKN,Regular Season
0022500174,2025-11-05,BOS,WAS,Regular Season
0022500175,2025-11-05,NYK,MIN,Regular Season
0022500176,2025-11-05,MEM,HOU,Regular Season
0022500177,2025-11-05,DAL,NOP,Regular Season
0022500178,2025-11-05,DEN,MIA,Regular Season
0022500179,2025-11-05,LAL,SAS,Regular Season
0022500180,2025-11-05,POR,OKC,Regular Season
0022500181,2025-11-05,SAC,GSW,Regular Season
0022500182,2025-11-06,PHX,LAC,Regular Season
0022500028,2025-11-07,ORL,BOS,Regular Season
0022500029,2025-11-07,WAS,CLE,Regular Season
0022500030,2025-11-07,ATL,TOR,Regular Season
0022500031,2025-11-07,BKN,DET,Regular Season
0022500032,2025-11-07,SAS,HOU,Regular Season
0022500033,2025-11-07,MIA,CHA,Regular Season
0022500034,2025-11-07,MEM,DAL,Regular Season
0022500035,2025-11-07,MIL,CHI,Regular Season
0022500036,2025-11-07,MIN,UTA,Regular Season
0022500037,2025-11-07,DEN,GSW,Regular Season
0022500038,2025-11-07,SAC,OKC,Regular Season
0022500183,2025-11-08,WAS,DAL,Regular Season
0022500184,2025-11-08,PHI,TOR,Regular Season
0022500185,2025-11-08,ATL,LAL,Regular Season
0022500186,2025-11-08,CLE,CHI,Regular Season
0022500187,2025-11-08,MIA,POR,Regular Season
0022500188,2025-11-08,SAS,NOP,Regular Season
0022500189,2025-11-08,DEN,IND,Regular Season
0022500190,2025-11-08,LAC,PHX,Regular Season
0022500191,2025-11-09,MIL,HOU,Regular Season
0022500192,2025-11-09,NYK,BKN,Regular Season
0022500193,2025-11-09,ORL,BOS,Regular Season
0022500194,2025-11-09,MEM,OKC,Regular Season
0022500195,2025-11-09,PHI,DET,Regular Season
0022500196,2025-11-09,GSW,IND,Regular Season
0022500197,2025-11-09,SAC,MIN,Regular Season
0022500198,2025-11-10,CHA,LAL,Regular Season
0022500199,2025-11-10,DET,WAS,Regular Season
0022500200,2025-11-10,ORL,POR,Regular Season
0022500201,2025-11-10,MIA,CLE,Regular Season
0022500202,2025-11-10,CHI,SAS,Regular Season
0022500203,2025-11-10,DAL,MIL,Regular Season
0022500204,2025-11-10,PHX,NOP,Regular Season
0022500205,2025-11-10,UTA,MIN,Regular Season
0022500206,2025-11-10,LAC,ATL,Regular Season
0022500207,2025-11-11,BKN,TOR,Regular Season
0022500208,2025-11-11,NYK,MEM,Regular Season
0022500209,2025-11-11,PHI,BOS,Regular Season
0022500210,2025-11-11,OKC,GSW,Regular Season
0022500211,2025-11-11,UTA,IND,Regular Season
0022500212,2025-11-11,SAC,DEN,Regular Season
0022500213,2025-11-12,CHA,MIL,Regular Season
0022500214,2025-11-12,DET,CHI,Regular Season
0022500215,2025-11-12,NYK,ORL,Regular Season
0022500216,2025-11-12,BOS,MEM,Regular Season
0022500217,2025-11-12,MIA,CLE,Regular Season
0022500218,2025-11-12,HOU,WAS,Regular Season
0022500219,2025-11-12,NOP,POR,Regular Season
0022500220,2025-11-12,SAS,GSW,Regular Season
0022500221,2025-11-12,DAL,PHX,Regular Season
0022500222,2025-11-12,OKC,LAL,Regular Season
0022500223,2025-11-12,SAC,ATL,Regular Season
0022500224,2025-11-12,LAC,DEN,Regular Season
0022500225,2025-11-13,CLE,TOR,Regular Season
0022500226,2025-11-13,PHX,IND,Regular Season
0022500227,2025-11-13,UTA,ATL,Regular Season
0022500039,2025-11-14,NYK,MIA,Regular Season
0022500040,2025-11-14,ORL,BKN,Regular Season
0022500041,2025-11-14,DET,PHI,Regular Season
0022500042,2025-11-14,HOU,POR,Regular Season
0022500043,2025-11-14,MIL,CHA,Regular Season
0022500044,2025-11-14,MIN,SAC,Regular Season
0022500045,2025-11-14,NOP,LAL,Regular Season
0022500046,2025-11-14,DAL,LAC,Regular Season
0022500047,2025-11-14,SAS,GSW,Regular Season
0022500228,2025-11-15,CLE,MEM,Regular Season
0022500229,2025-11-15,CHA,OKC,Regular Season
0022500230,2025-11-15,IND,TOR,Regular Season
0022500231,2025-11-15,MIL,LAL,Regular Season
0022500232,2025-11-15,MIN,DEN,Regular Season
0022500233,2025-11-16,BOS,LAC,Regular Season
0022500234,2025-11-16,SAS,SAC,Regular Season
0022500235,2025-11-16,WAS,BKN,Regular Season
0022500236,2025-11-16,HOU,ORL,Regular Season
0022500237,2025-11-16,NOP,GSW,Regular Season
0022500238,2025-11-16,DAL,POR,Regular Season
0022500239,2025-11-16,PHX,ATL,Regular Season
0022500240,2025-11-16,UTA,CHI,Regular Season
0022500241,2025-11-17,CLE,MIL,Regular Season
0022500242,2025-11-17,DET,IND,Regular Season
0022500243,2025-11-17,PHI,LAC,Regular Season
0022500244,2025-11-17,MIA,NYK,Regular Season
0022500245,2025-11-17,TOR,CHA,Regular Season
0022500246,2025-11-17,MIN,DAL,Regular Season
0022500247,2025-11-17,NOP,OKC,Regular Season
0022500248,2025-11-17,DEN,CHI,Regular Season
0022500249,2025-11-18,ORL,GSW,Regular Season
0022500250,2025-11-18,BKN,BOS,Regular Season
0022500251,2025-11-18,ATL,DET,Regular Season
0022500252,2025-11-18,SAS,MEM,Regular Season
0022500253,2025-11-18,LAL,UTA,Regular Season
0022500254,2025-11-18,POR,PHX,Regular Season
0022500255,2025-11-19,CLE,HOU,Regular Season
0022500256,2025-11-19,IND,CHA,Regular Season
0022500257,2025-11-19,MIA,GSW,Regular Season
0022500258,2025-11-19,PHI,TOR,Regular Season
0022500259,2025-11-19,MIN,WAS,Regular Season
0022500260,2025-11-19,NOP,DEN,Regular Season
0022500261,2025-11-19,OKC,SAC,Regular Season
0022500262,2025-11-19,DAL,NYK,Regular Season
0022500263,2025-11-19,POR,CHI,Regular Season
0022500264,2025-11-20,ORL,LAC,Regular Season
0022500265,2025-11-20,MEM,SAC,Regular Season
0022500266,2025-11-20,MIL,PHI,Regular Season
0022500267,2025-11-20,SAS,ATL,Regular Season
0022500048,2025-11-21,CLE,IND,Regular Season
0022500049,2025-11-21,BOS,BKN,Regular Season
0022500050,2025-11-21,TOR,WAS,Regular Season
0022500051,2025-11-21,CHI,MIA,Regular Season
0022500052,2025-11-21,DAL,NOP,Regular Season
0022500053,2025-11-21,PHX,MIN,Regular Season
0022500054,2025-11-21,HOU,DEN,Regular Season
0022500055,2025-11-21,UTA,OKC,Regular Season
0022500056,2025-11-21,GSW,POR,Regular Season
0022500268,2025-11-22,CHA,LAC,Regular Season
0022500269,2025-11-22,ORL,NYK,Regular Season
0022500270,2025-11-22,NOP,ATL,Regular Season
0022500271,2025-11-22,CHI,WAS,Regular Season
0022500272,2025-11-22,MIL,DET,Regular Season
0022500273,2025-11-22,DAL,MEM,Regular Season
0022500274,2025-11-22,DEN,SAC,Regular Season
